model,a,b,edge_distance,short_settle_time,short_sample_time,short_x_amplitude,short_period,short_peak_count,long_settle_time,long_sample_time,long_x_amplitude,long_period,long_peak_count
Brusselator,1.000000,2.010000,0.010000,20.00,30.00,0.23547431,6.30000000,4,180.00,90.00,0.12600724,6.28730769,14
Brusselator,1.000000,2.020000,0.020000,20.00,30.00,0.25101324,6.30000000,4,180.00,90.00,0.16670834,6.29076923,14
Brusselator,1.000000,2.030000,0.030000,20.00,30.00,0.26693676,6.30000000,4,180.00,90.00,0.20305875,6.29307692,14
Brusselator,1.000000,2.050000,0.050000,20.00,30.00,0.29971840,6.31000000,4,180.00,90.00,0.26405289,6.30115385,14
Brusselator,1.000000,2.080000,0.080000,20.00,30.00,0.35129627,6.31500000,4,180.00,90.00,0.33849797,6.31384615,14
Brusselator,1.000000,2.120000,0.120000,20.00,30.00,0.42498522,6.33000000,4,180.00,90.00,0.42199471,6.33115385,14
Brusselator,1.000000,2.180000,0.180000,20.00,30.00,0.53060884,6.36000000,4,180.00,90.00,0.53063142,6.35884615,14
Brusselator,1.000000,2.280000,0.280000,20.00,30.00,0.69087999,6.41500000,4,180.00,90.00,0.69088494,6.41538462,14
Selkov,0.080000,0.349410,0.003000,40.00,45.00,0.11235590,14.08000000,3,240.00,120.00,0.06922579,14.02000000,9
Selkov,0.080000,0.351410,0.005000,40.00,45.00,0.11944615,14.04000000,3,240.00,120.00,0.08351439,13.99250000,9
Selkov,0.080000,0.354410,0.008000,40.00,45.00,0.13032541,13.99000000,3,240.00,120.00,0.10373762,13.95250000,9
Selkov,0.080000,0.358410,0.012000,40.00,45.00,0.14517528,13.91000000,3,240.00,120.00,0.12785246,13.89250000,9
Selkov,0.080000,0.366410,0.020000,40.00,45.00,0.17475250,13.77000000,3,240.00,120.00,0.16871934,13.76000000,9
Selkov,0.080000,0.386410,0.040000,40.00,45.00,0.24995688,13.36000000,3,240.00,120.00,0.25003988,13.36250000,9
Selkov,0.080000,0.426410,0.080000,40.00,45.00,0.37420558,12.48000000,4,240.00,120.00,0.37422608,12.47555556,10
Selkov,0.080000,0.506410,0.160000,40.00,45.00,0.54128556,10.93333333,4,240.00,120.00,0.54128696,10.93200000,11
